,ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location,state_name,county,total_pop,white_pop,black_pop,hispanic_pop,poverty,percent_income_spent_on_rent,employed_pop,commuters_by_public_transportation,employed_education_health_social,employed_arts_entertainment_recreation_accommodation_food,employed_transportation_warehousing_utilities
26,60626,17,04/19/2020,04/25/2020,145.0,416.0,289.0,829.7,436,1269,870,2531.0,0.3,0.3,8,25,16.0,49.9,50139,60626-17,POINT (-87.669834 42.009469),Illinois,"Cook County, DuPage County",49730.0,22444.0,12304.0,10252.0,11505.0,32.2,27579.0,11157.0,7494.0,4730.0,1529.0
27,60626,13,03/22/2020,03/28/2020,22.0,34.0,44.0,67.8,129,224,257,446.8,0.2,0.2,0,0,0.0,0.0,50139,60626-13,POINT (-87.669834 42.009469),Illinois,"Cook County, DuPage County",49730.0,22444.0,12304.0,10252.0,11505.0,32.2,27579.0,11157.0,7494.0,4730.0,1529.0
28,60626,12,03/15/2020,03/21/2020,12.0,12.0,24.0,23.9,89,95,178,189.5,0.1,0.1,0,0,0.0,0.0,50139,60626-12,POINT (-87.669834 42.009469),Illinois,"Cook County, DuPage County",49730.0,22444.0,12304.0,10252.0,11505.0,32.2,27579.0,11157.0,7494.0,4730.0,1529.0
29,60626,18,04/26/2020,05/02/2020,164.0,580.0,327.0,1156.8,408,1677,814,3344.7,0.4,0.3,11,36,21.9,71.8,50139,60626-18,POINT (-87.669834 42.009469),Illinois,"Cook County, DuPage County",49730.0,22444.0,12304.0,10252.0,11505.0,32.2,27579.0,11157.0,7494.0,4730.0,1529.0
30,60606,19,05/03/2020,05/09/2020,7.0,36.0,303.0,1559.8,48,228,2080,9878.7,0.1,0.2,0,1,0.0,43.3,2308,60606-19,POINT (-87.63676 41.882634),Illinois,"Cook County, DuPage County",3101.0,2129.0,73.0,195.0,237.0,20.0,2549.0,382.0,427.0,103.0,90.0
31,60606,11,03/08/2020,03/14/2020,,,,,3,3,130,130.0,,,0,0,0.0,0.0,2308,60606-11,POINT (-87.63676 41.882634),Illinois,"Cook County, DuPage County",3101.0,2129.0,73.0,195.0,237.0,20.0,2549.0,382.0,427.0,103.0,90.0
32,60606,10,03/01/2020,03/07/2020,,,,,0,0,0,0.0,,,0,0,0.0,0.0,2308,60606-10,POINT (-87.63676 41.882634),Illinois,"Cook County, DuPage County",3101.0,2129.0,73.0,195.0,237.0,20.0,2549.0,382.0,427.0,103.0,90.0
33,60606,15,04/05/2020,04/11/2020,2.0,7.0,87.0,303.3,29,73,1256,3162.9,0.1,0.1,0,0,0.0,0.0,2308,60606-15,POINT (-87.63676 41.882634),Illinois,"Cook County, DuPage County",3101.0,2129.0,73.0,195.0,237.0,20.0,2549.0,382.0,427.0,103.0,90.0
34,60606,14,03/29/2020,04/04/2020,2.0,5.0,87.0,216.6,11,44,477,1906.4,0.2,0.1,0,0,0.0,0.0,2308,60606-14,POINT (-87.63676 41.882634),Illinois,"Cook County, DuPage County",3101.0,2129.0,73.0,195.0,237.0,20.0,2549.0,382.0,427.0,103.0,90.0
35,60606,16,04/12/2020,04/18/2020,10.0,17.0,433.0,736.6,31,104,1343,4506.1,0.3,0.2,0,0,0.0,0.0,2308,60606-16,POINT (-87.63676 41.882634),Illinois,"Cook County, DuPage County",3101.0,2129.0,73.0,195.0,237.0,20.0,2549.0,382.0,427.0,103.0,90.0
